setting,e_beam_GeV,hms_p_GeV,hms_angle_deg,shms_p_GeV,shms_angle_deg,dp_idx,dp_label,dp_lo,dp_hi,var,norm_win_lo,norm_win_hi,intD_win,intS_win,sim_scale,entriesD,entriesS,muD_MeV,muD_err_MeV,sigD_MeV,sigD_err_MeV,statusD,chi2D,ndfD,muS_MeV,muS_err_MeV,sigS_MeV,sigS_err_MeV,statusS,chi2S,ndfS,offset_MeV,offset_err_MeV,fit_valid
E,10.671600,4.720000,26.395000,-6.604800,18.560000,4,b4,1.000000,2.000000,Pmy,-0.021697,0.038070,858.000000,0.151729,5654.835225,974.000000,10922.000000,8.044268,0.378566,10.655085,0.347365,0,17.048074,7,0.249799,0.069608,7.101494,0.053916,0,12.477509,5,7.794469,0.384912,1
E,10.671600,4.720000,26.395000,-6.604800,18.560000,5,b5,2.000000,3.000000,W,0.889585,1.009391,726.000000,0.134644,5391.998085,1008.000000,10260.000000,947.829614,1.253255,29.359504,1.190526,0,11.215968,14,948.704719,0.250634,21.156780,0.228207,0,80.591616,11,-0.875105,1.278071,1
E,10.671600,4.720000,26.395000,-6.604800,18.560000,5,b5,2.000000,3.000000,Em,-0.025942,0.007688,640.000000,0.070978,9016.924882,1008.000000,10260.000000,-9.538491,0.368347,7.946834,0.339796,0,20.725837,14,6.354964,0.057037,4.393707,0.051210,0,154.725365,8,-15.893454,0.372737,1
E,10.671600,4.720000,26.395000,-6.604800,18.560000,5,b5,2.000000,3.000000,Pmz,-0.027450,0.038785,760.000000,0.121244,6268.364189,1008.000000,10260.000000,8.919489,0.525782,10.469651,0.533210,0,75.414473,8,-5.886138,0.069569,5.456509,0.052734,0,903.489301,6,14.805626,0.530365,1
E,10.671600,4.720000,26.395000,-6.604800,18.560000,5,b5,2.000000,3.000000,Pmy,-0.020446,0.037020,902.000000,0.158239,5700.253808,1008.000000,10260.000000,8.238099,0.350632,9.939569,0.312574,0,14.782654,6,-0.782983,0.074601,7.395293,0.056431,0,8.152268,5,9.021082,0.358480,1
F,10.671600,4.720000,26.395000,-5.712000,18.560000,0,full,-10.000000,22.000000,W,0.898754,1.009843,4559.000000,0.729186,6252.173152,8687.000000,90681.000000,953.391070,0.499773,28.829027,0.515090,0,49.307290,13,947.962317,0.082246,16.978296,0.075181,0,835.917057,9,5.428753,0.506495,1
F,10.671600,4.720000,26.395000,-5.712000,18.560000,0,full,-10.000000,22.000000,Em,-0.029236,0.008658,3644.000000,0.387271,9409.420407,8687.000000,90681.000000,-10.416958,0.218545,10.521737,0.233278,0,25.420738,16,7.433726,0.042074,7.724801,0.042532,0,296.221620,13,-17.850684,0.222558,1
F,10.671600,4.720000,26.395000,-5.712000,18.560000,0,full,-10.000000,22.000000,Pmz,-0.024992,0.040236,4442.000000,0.643709,6900.635148,8687.000000,90681.000000,12.011294,0.185807,9.413343,0.161043,0,392.407400,8,-6.496975,0.032642,6.104618,0.023723,0,5411.661450,7,18.508268,0.188653,1
F,10.671600,4.720000,26.395000,-5.712000,18.560000,0,full,-10.000000,22.000000,Pmy,-0.026035,0.040625,6805.000000,1.142181,5957.899048,8687.000000,90681.000000,6.955847,0.136375,10.911499,0.128033,0,148.822757,8,-0.108563,0.024071,6.870716,0.019055,0,194.269824,5,7.064410,0.138483,1
F,10.671600,4.720000,26.395000,-5.712000,18.560000,1,b1,-2.000000,-1.000000,W,0.000000,0.000000,0.000000,0.000000,1.000000,72.000000,467.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999,0.000000,0,-999.000000,-999.000000,-999.000000,-999.000000,-999,0.000000,0,-999.000000,-999.000000,0
