run,spec,run_type,target,hms_p,shms_p,fit_variable,all_events,selected_events,fit_mean,fit_sigma,fit_entries,fit_attempted,fit_status,fit_valid,covariance_status,fit_chi2,fit_ndf,fit_chi2_ndf,fit_edm,candidate_mean,candidate_sigma,failure_reason,status
24020,coin,PI-SIDIS,LD2,-1.531,-4.868,CTime.ePiCoinTime_ROC2,408292,6119,51.3488,0.309767,6119,1,0,1,3,8.72901,3,2.90967,9.8596e-07,51.3488,0.309767,,OK
24021,coin,PI-SIDIS,LD2,-1.531,-4.868,CTime.ePiCoinTime_ROC2,467658,6751,51.3471,0.291342,6751,1,0,1,3,5.51074,3,1.83691,1.44594e-06,51.3471,0.291342,,OK
24022,coin,PI-SIDIS,LD2,-1.531,-4.868,CTime.ePiCoinTime_ROC2,473723,6867,51.3396,0.289681,6867,1,0,1,3,6.05405,3,2.01802,5.10469e-06,51.3396,0.289681,,OK
24023,coin,PI-SIDIS,LD2,-1.531,-4.868,CTime.ePiCoinTime_ROC2,52504,837,51.3489,0.270087,837,1,0,1,3,9.59819,3,3.1994,8.87019e-06,51.3489,0.270087,,OK
24024,coin,PI-SIDIS,LD2,-1.531,-4.868,CTime.ePiCoinTime_ROC2,242375,3722,51.3473,0.29352,3722,1,0,1,3,3.54718,3,1.18239,3.95094e-08,51.3473,0.29352,,OK
24026,coin,PI-SIDIS,LD2,-1.531,-4.868,CTime.ePiCoinTime_ROC2,133528,2187,51.3618,0.319125,2187,1,0,1,3,19.9202,3,6.64008,9.52585e-06,51.3618,0.319125,,OK
24032,coin,PI-SIDIS,Dummy,-1.531,-4.868,CTime.ePiCoinTime_ROC2,238679,3212,51.3454,0.277712,3212,1,0,1,3,7.37588,3,2.45863,2.06205e-07,51.3454,0.277712,,OK
24039,coin,PI-SIDIS,C,-1.531,-4.868,CTime.ePiCoinTime_ROC2,46206,634,51.3873,0.259253,634,1,0,1,3,4.54156,3,1.51385,1.52172e-07,51.3873,0.259253,,OK
24040,coin,PI-SIDIS,C,-1.531,-4.868,CTime.ePiCoinTime_ROC2,275265,3851,51.355,0.294479,3851,1,0,1,3,10.836,3,3.61201,5.30975e-07,51.355,0.294479,,OK
24041,coin,PI-SIDIS,C,-1.531,-4.868,CTime.ePiCoinTime_ROC2,384729,5317,51.3435,0.295294,5317,1,0,1,3,8.79477,3,2.93159,3.66191e-09,51.3435,0.295294,,OK
24042,coin,PI-SIDIS,C,-1.531,-4.868,CTime.ePiCoinTime_ROC2,359840,5195,51.3198,0.298805,5195,1,0,1,3,8.69491,3,2.8983,8.50426e-08,51.3198,0.298805,,OK
24043,coin,PI-SIDIS,C,-1.531,-4.868,CTime.ePiCoinTime_ROC2,119329,1904,51.3481,0.286669,1904,1,0,1,3,10.6337,3,3.54458,9.95881e-07,51.3481,0.286669,,OK
24047,coin,PI-SIDIS,Cu,-1.531,-4.868,CTime.ePiCoinTime_ROC2,421285,5268,51.3276,0.321549,5268,1,0,1,3,10.1755,3,3.39184,1.72666e-06,51.3276,0.321549,,OK
24048,coin,PI-SIDIS,Cu,-1.531,-4.868,CTime.ePiCoinTime_ROC2,402464,5024,51.3235,0.286654,5024,1,0,1,3,3.39259,3,1.13086,3.5724e-09,51.3235,0.286654,,OK
24049,coin,PI-SIDIS,Cu,-1.531,-4.868,CTime.ePiCoinTime_ROC2,435947,5451,51.3027,0.312052,5451,1,0,1,3,4.49323,3,1.49774,6.6999e-06,51.3027,0.312052,,OK
